"","MF","MW","Ncharges","C","I","N","O","S","Br","Cl","F","H","P","Na","K","RNH2","R2NH","R3N","ROPO3","ROH","RCHO","RCOR","RCOOH","RCOOR","ROR","RCCH","RCN","RINGS","AROMATIC","TPSA","logP"
"CMP1","C12INOS",333.10397,2,12,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,52.35,3.0015
"CMP2","C20O2",272.2128,0,20,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,5,1,26.3,4.4939
"CMP3","C20NO4",318.2183,0,20,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,3,82.28,3.0751
"CMP4","C17NO5",298.1856,2,17,0,1,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,2,1,98.94,0.7403
"CMP5","C13O3S",236.2023,0,13,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,71.61,3.0088
"CMP6","C11BrN4O2S",332.1123,0,11,0,4,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,125.35,2.6652
"CMP7","C15Cl2N3O",309.086,0,15,0,3,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,2,60.05,4.5725
"CMP8","C16ClN2O",271.637,2,16,0,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,3,18.04,3.4804
"CMP9","C19F3N2O2",345.2107096,0,19,0,2,2,0,0,0,3,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,3,2,35.94,3.7447
"CMP10","C14F3N2O3",301.1566096,2,14,0,2,3,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,2,67.08,4.962
"CMP11","C12N4O2",232.154,0,12,0,4,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,3,1,64.68,1.0524
"CMP12","C15N2OS",256.2383,0,15,0,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,1,57.97,2.7003
"CMP13","C18NO3",278.1975,0,18,0,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,1,55.4,3.4533
"CMP14","C12NO4",222.1327,0,12,0,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,2,1,75.63,0.9382
"CMP15","C9NO4S",218.1656,2,9,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,111.36,3.0762
"CMP16","C20N4O",312.2402,0,20,0,4,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,3,2,48.47,2.8434
"CMP17","C15Cl2NO2",297.072,0,15,0,1,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,2,42.23,4.576
"CMP18","C11N4",188.1445,0,11,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3,54.46,2.0199
"CMP19","C14ClF3NO",290.6041096,0,14,0,1,1,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,29.1,4.6841
"CMP20","C16NO5",286.1749,0,16,0,1,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,2,2,84.86,2.7273
"CMP21","C12N5O",230.1613,0,12,0,5,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,3,3,54.38,1.2106
"CMP22","C20N2O3S",348.2906,2,20,0,2,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,1,91.43,4.8463
"CMP23","C16ClNO",257.6303,0,16,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,29.1,4.3744
"CMP24","C18N2O2",276.2048,0,18,0,2,2,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,2,0,64.52,2.9874
"CMP25","C13O4S2",284.2667,0,13,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,131.08,3.5319
"CMP26","C24N3O",346.2763,0,24,0,3,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,3,2,35.58,3.8301
"CMP27","C17Cl2N2O",319.1007,0,17,0,2,1,0,0,2,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,3,2,28.4,4.0238
"CMP28","C26N2O",356.291,0,26,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,4,3,23.55,4.5424
"CMP29","C13ClFNO",240.5966032,0,13,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,29.1,3.8044
"CMP30","C16INO2",365.08117,0,16,1,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,2,49.93,3.4924
"CMP31","C14N5O",254.1827,0,14,0,5,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,3,3,63.17,2.362
"CMP32","C17N4O2",292.2075,0,17,0,4,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3,93.24,2.6278
"CMP33","C16BrNO",302.0813,0,16,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,29.1,4.4835
"CMP34","C16N2",220.1846,0,16,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,1,15.27,2.7727
"CMP35","C17O3S",284.2451,0,17,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,82.61,4.7807
"CMP36","C18FN3O",293.2105032,0,18,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,39.29,3.3741
"CMP37","C17Br2N2O",408.0027,0,17,0,2,1,0,2,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,3,2,28.4,4.242
"CMP38","C16N2O2",252.1834,0,16,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,2,50.27,2.4325
"CMP39","C18ClN2O2",311.6578,0,18,0,2,2,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,3,2,35.94,3.3793
"CMP40","C24NO2",334.2623,0,24,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,4,4,21.7,4.867
"CMP41","C15F3O4",301.1533096,0,15,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,3,1,59.67,3.1061
"CMP42","C23BrN3O2",430.169,0,23,0,3,2,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,2,43.86,3.3528
"CMP43","C16BrNO",302.0813,0,16,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,29.1,4.4835
"CMP44","C14N2",196.1632,0,14,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,15.27,2.8627
"CMP45","C9N2O3",184.1079,0,9,0,2,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,78.43,1.3589
"CMP46","C12N3O4",250.1461,4,12,0,3,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,94.88,3.5538
"CMP47","C20Cl2N3O",369.1395,0,20,0,3,1,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4,4,42.98,4.9757
"CMP48","C9N3S",182.1814,0,9,0,3,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,52.93,0.4753
"CMP49","C16ClNO2",273.6297,0,16,0,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,2,38.33,3.9112
"CMP50","C9ClN2O",187.5621,0,9,0,2,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,1,37.52,0.3093
"CMP51","C12ClNO",209.5875,0,12,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4,0,46.25,3.1672
"CMP52","C23ClN3O2",385.718,0,23,0,3,2,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,2,43.86,3.2437
"CMP53","C21NO3",314.2296,0,21,0,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,1,55.4,4.6109
"CMP54","C15N2",208.1739,0,15,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,1,15.27,2.7302
"CMP55","C12N3O2",218.1473,2,12,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,3,60.35,1.8198
"CMP56","C11N3O2",206.1366,0,11,0,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,73.99,1.7306
"CMP57","C22N2O",308.2482,0,22,0,2,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,4,4,37.19,4.6489
"CMP58","C15NO4",258.1648,0,15,0,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,2,1,79.54,2.8138
"CMP59","C15N4",236.1873,0,15,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,2,32.26,1.8017
"CMP60","C18ClN2O",295.6584,0,18,0,2,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,3,2,15.71,3.6737
"CMP61","C15N2OS",256.2383,0,15,0,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,1,57.97,2.7019
"CMP62","C23ClN3O2",385.718,0,23,0,3,2,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,2,43.86,3.2437
"CMP63","C14NO3",230.1547,0,14,0,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,55.4,2.4391
"CMP64","C11N3O2",206.1366,0,11,0,3,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,43.86,-0.8035
"CMP65","C15N5",250.194,0,15,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,2,46.31,2.6419
"CMP66","C15Br2NO2",385.974,0,15,0,1,2,0,2,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,3,2,45.39,3.6727
"CMP67","C18N6",300.2328,0,18,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,67.99,3.3345
"CMP68","C18NO2",262.1981,0,18,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1,39.07,3.4579
"CMP69","C15ClN2O2",275.6257,2,15,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,58.18,5.1388
"CMP70","C21FN2",299.2365032,0,21,0,2,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,3,6.48,4.304
"CMP71","C10NOS",182.1781,0,10,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,54.4,2.2655
"CMP72","C20BrN3O2",394.1369,0,20,0,3,2,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,2,43.86,2.9711
"CMP73","C20N2O3",316.2256,0,20,0,2,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,2,1,58.64,3.8321
"CMP74","C14ClNOS",265.6739,0,14,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,2,48.55,4.1187
"CMP75","C9N3O2",182.1152,2,9,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,73.7,0.5369
"CMP76","C15NO2",226.166,0,15,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,2,2,43.7,2.1779
"CMP77","C18N2O",260.2054,0,18,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,3,2,26.71,3.8355
"CMP78","C15INO3",369.06987,0,15,1,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,2,2,47.56,3.3903
"CMP79","C14ClN2O3",279.6144,2,14,0,2,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,78.41,4.0143
"CMP80","C20F3N2O3",373.2208096,0,20,0,2,3,0,0,0,3,0,0,0,0,0,0,2,0,1,0,0,0,0,2,0,0,3,2,45.17,3.7533
"CMP81","C17ClN2O",283.6477,0,17,0,2,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,2,58.61,5.1128
"CMP82","C17Cl2NO",305.094,0,17,0,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,1,29.1,5.2213
"CMP83","C13N2O",200.1519,0,13,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,34.48,2.8408
"CMP84","C22N2O2",324.2476,0,22,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,4,2,24.94,3.7323
"CMP85","C19BrN2O2",368.1195,0,19,0,2,2,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,3,2,35.94,3.7968
"CMP86","C19ClN2",291.6697,0,19,0,2,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,2,6.48,4.2819
"CMP87","C19FN2O",291.2145032,0,19,0,2,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,3,2,15.71,3.5495
"CMP88","C16N4",248.198,0,16,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,2,32.26,2.1101
"CMP89","C13N2O2",216.1513,0,13,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,2,1,35.94,1.024
"CMP90","C10Cl2NO",221.0191,0,10,0,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,29.1,3.581
"CMP91","C15ClN2O5",323.6239,2,15,0,2,5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,3,2,94.12,3.2092
"CMP92","C17Cl2N3O2",349.1068,2,17,0,3,2,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,2,52.3,4.7499
"CMP93","C13ClN2O2",251.6043,2,13,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,58.18,4.522
"CMP94","C23FN2O",339.2573032,0,23,0,2,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,4,3,15.71,4.9431
"CMP95","C16N2O2",252.1834,0,16,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,2,52.9,3.1255
"CMP96","C14N3O4",274.1675,2,14,0,3,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,3,1,70.76,1.86
"CMP97","C12NO",174.1345,0,12,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,1,23.47,1.5812
"CMP98","C17ClFN2",286.6467032,0,17,0,2,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,2,6.48,3.8042
"CMP99","C16NO",222.1773,0,16,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,1,23.47,2.7064
"CMP100","C17N2O",248.1947,0,17,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,2,1,15.71,2.7759
"CMP101","C21O5",332.2217,0,21,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,4,4,65.74,4.174
"CMP102","C13Cl2N3O4",333.0628,4,13,0,3,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,104,5.6068
"CMP103","C13BrN2O3S",344.1197,0,13,0,2,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,97.64,4.2029
"CMP104","C17BrF2N2",350.0961064,0,17,0,2,0,0,1,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,2,6.48,4.0524
"CMP105","C13BrN2OS",312.1209,0,13,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,69.7,3.9738
"CMP106","C14IN2O3",371.06587,0,14,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,81.92,2.8572
"CMP107","C13N2",184.1525,0,13,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,3,19.03,2.4838
"CMP108","C20N3O",298.2335,0,20,0,3,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,3,2,35.58,2.9116
"CMP109","C20ClN2O",319.6798,0,20,0,2,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,3,2,15.71,4.2905
"CMP110","C13ClN2O2S",283.6693,0,13,0,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,60.34,4.0075
"CMP111","C19ClNO",293.6624,0,19,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,3,29.96,4.8183
"CMP112","C23N2O2",336.2583,0,23,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,3,2,32.78,4.1835
"CMP113","C14BrN3S",322.1389,0,14,0,3,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,2,47.61,3.2307
"CMP114","C14BrN3O3",338.0721,2,14,0,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,87.28,4.0353
"CMP115","C17ClN2O",283.6477,0,17,0,2,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2,41.13,4.9483
"CMP116","C14N2O3",244.1614,2,14,0,2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,74.92,3.5721
"CMP117","C16NO3",254.1761,0,16,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,2,40.05,3.463
"CMP118","C18N2O3",292.2042,2,18,0,2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,74.92,4.9663
"CMP119","C9NO4",186.1006,2,9,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,2,79.19,2.8782
"CMP120","C20BrN3O",378.1375,0,20,0,3,1,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,6,2,53.94,4.0944
"CMP121","C18ClN2",279.659,0,18,0,2,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,2,6.48,3.9735
"CMP122","C13ClNO3S",285.662,0,13,0,1,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,63.78,4.3032
"CMP123","C21N2O",296.2375,0,21,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,3,2,15.71,4.0272
"CMP124","C20N2O2",300.2262,0,20,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3,61.69,4.214
"CMP125","C10O4",184.1046,0,10,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,1,66.76,1.5012
"CMP126","C22NO2",310.2409,0,22,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,4,3,33.45,4.1856
"CMP127","C20F3N2O",341.2220096,0,20,0,2,1,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,3,2,15.71,4.4292
"CMP128","C14BrCl2NO2",364.9653,0,14,0,1,2,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,2,38.33,4.8464
"CMP129","C18F4N2",320.1996128,0,18,0,2,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,2,6.48,4.1696
"CMP130","C16BrNO",302.0813,0,16,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,29.1,4.8978
"CMP131","C14NO",198.1559,0,14,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,29.1,2.8383
"CMP132","C18F4N2",320.1996128,0,18,0,2,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,2,6.48,4.1696
"CMP133","C17Cl2N2",303.1013,0,17,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,2,6.48,4.3185
"CMP134","C19N3O2",302.2222,0,19,0,3,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,3,2,37.83,2.814
"CMP135","C14ClN2O2",263.615,2,14,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,58.18,4.8304
"CMP136","C15F2NO2",264.1628064,0,15,0,1,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,1,29.54,2.8203
"CMP137","C14BrN2O2",308.066,0,14,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,61.69,3.3095
"CMP138","C11NO5",226.1214,2,11,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,2,85.26,3.0979
"CMP139","C18ClN2",279.659,0,18,0,2,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,2,6.48,3.9735
"CMP140","C20FN2",287.2258032,0,20,0,2,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,2,6.48,4.2742
"CMP141","C12N2O3",220.14,2,12,0,2,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,2,67.82,3.2135
"CMP142","C16N3",234.1913,0,16,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,2,19.37,2.4067
"CMP143","C22FN2O4",375.2448032,0,22,0,2,4,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,3,2,81.08,2.6881
"CMP144","C13N2",184.1525,0,13,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,25.25,3.1406
"CMP145","C20N2",268.2274,0,20,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,2,6.48,3.4426
"CMP146","C17BrN2",312.0993,0,17,0,2,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,2,6.48,3.7742
"CMP147","C17BrN3O3",374.1042,2,17,0,3,3,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,2,69.37,3.8458
"CMP148","C14N2O3",244.1614,2,14,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,78.41,3.8826
"CMP149","C14ClN3O2",277.6217,0,14,0,3,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,70.23,3.6613
"CMP150","C14ClN2O3",279.6144,0,14,0,2,3,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,81.92,2.906
"CMP151","C17Cl2N2",303.1013,0,17,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,2,6.48,4.3185
"CMP152","C14ClN2O",247.6156,0,14,0,2,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2,41.13,4.1256
"CMP153","C18ClN2S",311.724,0,18,0,2,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,2,31.78,4.387
"CMP154","C16Cl2NO2",309.0827,0,16,0,1,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,2,29.54,4.4253
"CMP155","C17ClNO4S",349.7042,0,17,0,1,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,80.85,5.2515
"CMP156","C16F3N2O3",325.1780096,2,16,0,2,3,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,74.92,4.8617
"CMP157","C12N2",172.1418,0,12,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,1,6.48,1.3098
"CMP158","C21F3N3",351.2400096,0,21,0,3,0,0,0,0,3,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,4,3,22.27,4.8202
"CMP159","C16NO2",238.1767,0,16,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,30.82,3.3229
"CMP160","C16Cl2N3",305.0973,0,16,0,3,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,2,19.37,3.7135
"CMP161","C18O3",264.1908,0,18,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,3,3,39.44,4.2892
"CMP162","C15ClN2O",259.6263,0,15,0,2,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,3,2,19.62,3.2581
"CMP163","C17BrNO3S2",410.2208,0,17,0,1,3,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,2,115,4.6181
"CMP164","C17ClN2O",283.6477,0,17,0,2,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,1,23.55,3.5902
"CMP165","C19ClN2O",307.6691,0,19,0,2,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,3,2,15.71,3.9821
"CMP166","C17BrFN2",331.0977032,0,17,0,2,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,2,6.48,3.9133
"CMP167","C21NO3",314.2296,0,21,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,3,2,41.93,3.802
"CMP168","C17N3O3",294.2002,2,17,0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,2,81.65,4.4204
"CMP169","C13BrClN2O2",331.5083,2,13,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,58.18,5.2845
"CMP170","C14BrN2O3",324.0654,2,14,0,2,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,78.41,4.6451
