"","MF","MW","Ncharges","C","I","N","O","S","Br","Cl","F","H","P","Na","K","RNH2","R2NH","R3N","ROPO3","ROH","RCHO","RCOR","RCOOH","RCOOR","ROR","RCCH","RCN","RINGS","AROMATIC","TPSA","logP"
"CMP30880","C11NO4S",242.187,0,11,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,106.86,2.5733
"CMP30881","C18N3OS",306.2771,0,18,0,3,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,3,87.46,4.2926
"CMP30882","C14N3O2S2",306.2987,0,14,0,3,2,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,2,2,129.61,3.971
"CMP30883","C26N4O3S",448.3682,0,26,0,4,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,5,3,105.04,4.1265
"CMP30884","C22N4O4S",416.3248,0,22,0,4,4,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,4,4,114.9,3.4869
"CMP30885","C21N5O4",386.2558,0,21,0,5,4,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,2,0,0,3,3,110.71,1.7305
"CMP30886","C12N2O4S",268.2044,0,12,0,2,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,2,2,109.67,2.5465
"CMP30887","C15Br2N2O5",447.9789,2,15,0,2,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,2,105.14,4.49908
"CMP30888","C15FNO2",245.1644032,0,15,0,1,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,2,38.33,3.0254
"CMP30889","C22NO2",310.2409,0,22,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4,3,38.33,4.2759
"CMP30890","C15BrN2O4",352.0755,0,15,0,2,4,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,1,1,68.82,3.1026
"CMP30891","C16ClN3OS",317.7087,0,16,0,3,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,3,96.25,5.0552
"CMP30892","C17N3O3S2",358.3302,0,17,0,3,3,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,3,2,138.84,4.1301
"CMP30893","C22N4O3S",400.3254,0,22,0,4,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,5,3,105.04,2.5661
"CMP30894","C22N6O3",396.2738,0,22,0,6,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,4,3,95.93,0.8367
"CMP30895","C26N5O2",414.3105,0,26,0,5,2,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,5,4,92.25,3.8428
"CMP30896","C15N2O2",240.1727,0,15,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,2,63.08,2.995
