"","MF","MW","Ncharges","C","Cl","N","O","S","I","F","Br","Ge","Si","H","RNH2","R2NH","R3N","ROPO3","ROH","RCHO","RCOR","RCOOH","RCOOR","ROR","RCCH","RCN","RINGS","AROMATIC","TPSA","logP"
"CMP983","C19INO4S",465.17707,0,19,0,1,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,2,1,81.14,4.3321
"CMP984","C28N4OS",440.3908,0,28,0,4,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,6,4,77.49,5.3389
"CMP985","C18N2O6S",372.2674,2,18,0,2,6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,3,2,130.87,3.994
"CMP986","C21N3O2S",358.3086,0,21,0,3,2,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,3,2,70.85,3.7675
"CMP987","C15N2O3S",288.2371,0,15,0,2,3,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1,0,2,1,82.89,1.6613
"CMP988","C21ClNO4S",397.747,0,21,1,1,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,3,2,81.14,4.535
"CMP989","C12BrO3",272.0306,0,12,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,1,1,35.53,2.6723
"CMP990","C17BrNO5S",410.1546,0,17,0,1,5,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,2,1,98.21,2.9984
"CMP991","C22NO6S",406.3035,0,22,0,1,6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1,0,2,1,107.44,3.3631
"CMP992","C20BrFNO3S",433.1863032,0,20,0,1,3,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,3,2,71.91,4.7746
"CMP993","C21N2O3S",360.3013,0,21,0,2,3,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1,0,3,2,82.89,3.7533
"CMP994","C20N2O3S",348.2906,0,20,0,2,3,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1,0,3,2,82.89,3.3632
"CMP995","C15Cl2NO5S",377.1352,0,15,2,1,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,2,1,109.21,3.0642
