"","MF","MW","Ncharges","C","Cl","N","O","S","I","F","Br","Ge","Si","H","RNH2","R2NH","R3N","ROPO3","ROH","RCHO","RCOR","RCOOH","RCOOR","ROR","RCCH","RCN","RINGS","AROMATIC","TPSA","logP"
"CMP1","C21ClN2O3S",395.7543,0,21,1,2,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,4,4,92.45,4.5945
"CMP2","C10N",134.1137,0,10,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,12.03,1.8003
"CMP3","C26N2O2S",404.3554,0,26,0,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,5,3,69.42,5.0013
"CMP4","C12N5O",230.1613,0,12,0,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,3,82.76,1.8829
"CMP5","C22N2O5S",404.3108,0,22,0,2,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,1,0,3,2,113.73,3.5771
"CMP6","C14N2OS2",276.2926,0,14,0,2,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,2,88.43,2.9861
"CMP7","C33N2O5",504.3635,0,33,0,2,5,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,2,0,6,6,91.83,4.6114
"CMP8","C21I2N7O3",652.07874,0,21,0,7,3,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,4,4,133.45,4.0121
"CMP9","C14NO",198.1559,0,14,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,2,33.12,1.9507
"CMP10","C13NO3",218.144,0,13,0,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,3,1,38.77,0.931
"CMP11","C16N2O2S",284.2484,0,16,0,2,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,3,1,67.61,2.8785
"CMP12","C23NO3",338.251,0,23,0,1,3,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,4,2,57.61,3.0708
"CMP13","C20NO3",302.2189,0,20,0,1,3,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,3,2,57.61,2.5004
"CMP14","C23N2O3",352.2577,0,23,0,2,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,4,2,64.23,2.9538
"CMP15","C8N2O4",188.0966,4,8,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,91.64,2.5307
"CMP16","C18",216.1926,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,2,0,4.2396
"CMP17","C23O3",324.2443,0,23,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,4,0,46.53,4.2452
"CMP18","C6N5O2",174.0965,0,6,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,112.55,0.2034
"CMP19","C19FNO3",309.2066032,0,19,0,1,3,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,3,2,57.61,2.3311
"CMP20","C17NO2",250.1874,0,17,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,2,1,29.54,2.5134
"CMP21","C15NO2",226.166,0,15,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,29.54,2.5371
"CMP22","C26N3O3S",434.3615,0,26,0,3,3,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,5,3,99.26,4.1483
"CMP23","C14NO3",230.1547,0,14,0,1,3,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,2,1,57.61,0.8981
"CMP24","C9NO3",170.1012,2,9,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,55.05,2.13
"CMP25","C10NO4",198.1113,2,10,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,72.12,1.908
"CMP26","C22IN3O3",481.15817,0,22,0,3,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,4,4,61.26,4.9701
"CMP27","C25ClNO6",445.7236,0,25,1,1,6,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,2,1,0,4,1,93.14,3.7965
"CMP28","C25N2OS",376.3453,0,25,0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,5,2,60.19,5.5087
"CMP29","C25N3O3",390.2858,0,25,0,3,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,1,1,3,3,87.14,4.23538
"CMP30","C10NS2",198.2437,0,10,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,66.43,3.0216
"CMP31","C22BrClN6O",479.632,0,22,1,6,1,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,1,1,0,4,3,66.41,4.5727
"CMP32","C24ClNO4",401.7141,0,24,1,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,4,2,64.63,4.4222
"CMP33","C23N2O6",400.2559,0,23,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,3,2,94.17,2.7391
"CMP34","C24NO4",366.2611,0,24,0,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,4,2,64.63,3.7688
"CMP35","C18N2OS",292.2704,0,18,0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,2,60.19,3.4194
"CMP36","C9O2",140.0951,0,9,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,37.3,1.3661
"CMP37","C17NO4",282.1862,0,17,0,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,3,2,74.68,2.2317
"CMP38","C27N2OS",400.3667,0,27,0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,5,3,60.19,5.4419
"CMP39","C22N4O2",352.261,0,22,0,4,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,4,3,66.7,3.0471
"CMP40","C20FN2O3S",367.2890032,0,20,0,2,3,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,2,74.86,4.3291
"CMP41","C22NO3",326.2403,0,22,0,1,3,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,3,2,57.61,3.3154
"CMP42","C22N2O5",372.2458,0,22,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,3,2,88.43,2.7121
"CMP43","C10NO3S",214.1769,0,10,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,62.83,1.483
"CMP44","C17NO",234.188,0,17,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,29.1,4.5802
"CMP45","C18N2O2S",308.2698,0,18,0,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,3,2,69.42,3.1196
"CMP46","C22N3O",322.2549,0,22,0,3,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,3,2,57.82,4.20158
"CMP47","C18N2OS",292.2704,0,18,0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,2,60.19,3.1701
"CMP48","C24N2OS",364.3346,0,24,0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,5,2,60.19,5.1186
"CMP49","C24O5",368.2538,0,24,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,4,1,72.83,3.3739
"CMP50","C20N3O2",314.2329,0,20,0,3,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,3,2,70.96,3.48178
"CMP51","C23NO3",338.251,0,23,0,1,3,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,3,2,57.61,3.4895
"CMP52","C12NO2S2",254.2639,0,12,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1,92.73,2.5648
"CMP53","C25N2OS",376.3453,0,25,0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,5,2,60.19,5.1937
"CMP54","C14N2OS",244.2276,0,14,0,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,70.23,3.9086
"CMP55","C13N7",254.186,0,13,0,7,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,1,1,1,89.76,1.57888
"CMP56","C11NO5S",258.1864,2,11,0,1,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,95.04,0.0896
"CMP57","C12N4S",232.2202,0,12,0,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,3,79.76,2.2314
"CMP58","C21N3O",310.2442,0,21,0,3,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,3,2,57.82,3.89318
"CMP59","C26O6",408.2746,0,26,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,4,1,78.9,3.9447
"CMP60","C26NO6",422.2813,0,26,0,1,6,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,2,1,0,4,1,93.14,3.5332
"CMP61","C20NO4",318.2183,0,20,0,1,4,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,3,2,66.84,2.2006
"CMP62","C24N2O2",348.269,0,24,0,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,3,3,58.2,4.2998
"CMP63","C23N3O2",350.265,0,23,0,3,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,3,2,67.05,4.29188
"CMP64","C16N4OS",296.2624,0,16,0,4,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,2,2,132.02,3.08626
"CMP65","C27N2OS",400.3667,0,27,0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,5,3,60.19,5.2462
"CMP66","C15O3",228.1587,0,15,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,3,2,39.44,2.2937
"CMP67","C15NO",210.1666,0,15,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,29.1,4.0476
"CMP68","C10N2OS",196.1848,0,10,0,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,81.95,1.28028
"CMP69","C29NO6",458.3134,0,29,0,1,6,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,2,1,0,4,1,93.14,4.4153
"CMP70","C21N2O",296.2375,0,21,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,1,41.99,5.3087
"CMP71","C21N2O3",328.2363,0,21,0,2,3,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,1,0,3,2,60.85,2.258
"CMP72","C16N2O5",300.1816,0,16,0,2,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,1,0,2,1,93.73,1.5043
"CMP73","C17O2",236.1807,0,17,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,1,18.46,3.7172
"CMP74","C20FN2O3S",367.2890032,0,20,0,2,3,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,3,2,85.22,4.0667
"CMP75","C10ClNO2",201.5655,0,10,1,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,2,1,35.14,1.8811
"CMP76","C20N2O4",332.225,0,20,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,2,67.87,2.5624
"CMP77","C21N2OS",328.3025,0,21,0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,4,2,60.19,3.9306
"CMP78","C22N3O2",338.2543,0,22,0,3,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,3,2,67.05,3.90178
"CMP79","C27N2O2S",416.3661,0,27,0,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,5,3,69.42,5.3914
"CMP80","C19BrN2O4",400.1183,0,19,0,2,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,1,1,2,1,80.58,3.06278
"CMP81","C22N2OS",340.3132,0,22,0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,4,2,60.19,4.1895
"CMP82","C12NO2",190.1339,0,12,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,2,2,37.38,1.2225
"CMP83","C22N2O5",372.2458,2,22,0,2,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,4,3,92.43,4.7572
"CMP84","C16N2O4",284.1822,2,16,0,2,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,2,83.2,2.9649
"CMP85","C20N2O2S2",364.3562,0,20,0,2,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,4,4,97.66,4.0599
"CMP86","C17O",220.1813,0,17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,9.23,4.1223
"CMP87","C17NO",234.188,0,17,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,2,1,12.47,2.9754
"CMP88","C8NO",126.0917,0,8,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,25.17,1.3933
"CMP89","C20N2OS",316.2918,0,20,0,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4,2,71.05,3.9202
"CMP90","C19N2OS2",336.3461,0,19,0,2,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,4,4,88.43,4.0513
"CMP91","C12NO",174.1345,0,12,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,2,1,22,2.087
"CMP92","C14NO",198.1559,0,14,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,29.1,2.8383
"CMP93","C17NO4",282.1862,0,17,0,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,3,3,65.37,1.1291
"CMP94","C16NO5",286.1749,0,16,0,1,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,1,1,81.7,1.8314
"CMP95","C14ClN2O4",295.6138,0,14,1,2,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,2,1,84.5,1.759
"CMP96","C16NO2",238.1767,0,16,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,42.24,4.0407
"CMP97","C10NO",150.1131,0,10,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,23.47,0.7912
"CMP98","C13N2OS2",264.2819,0,13,0,2,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,3,99.29,2.5887
"CMP99","C21N3O5",374.2418,0,21,0,3,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,3,2,89.46,2.2822
"CMP100","C32N3O4",490.3601,0,32,0,3,4,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,2,0,5,4,95.58,5.1654
"CMP101","C11ClN",181.5774,1,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.6188
"CMP102","C18NO",246.1987,0,18,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,29.1,4.4477
"CMP103","C26N2OS",388.356,0,26,0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,5,3,60.19,5.0518
"CMP104","C20IN2O3S",475.19507,0,20,0,2,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,4,3,81.07,3.0821
"CMP105","C20N2O5",348.2244,0,20,0,2,5,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,3,2,95.94,2.4644
"CMP106","C25N2OS",376.3453,0,25,0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,5,3,60.19,4.9927
"CMP107","C23N2O6",400.2559,0,23,0,2,6,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,1,0,3,2,94.17,3.1661
"CMP108","C17O3",252.1801,0,17,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,3,2,35.53,2.7079
"CMP109","C27N2O2S",416.3661,0,27,0,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,5,2,69.42,5.5237
"CMP110","C19FN2OS",323.2795032,0,19,0,2,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,2,60.19,4.2543
"CMP111","C11O3",180.1159,0,11,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,35.53,1.4852
"CMP112","C18NO",246.1987,0,18,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,29.1,4.7605
"CMP113","C27N2OS",400.3667,0,27,0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,5,3,60.19,5.6912
"CMP114","C18NO2",262.1981,0,18,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,38.33,4.4607
"CMP115","C25BrNO5",474.1752,0,25,0,1,5,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,2,1,0,4,2,73.86,4.5399
"CMP116","C20FN2O4",351.2234032,0,20,0,2,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,2,67.87,2.7015
"CMP117","C14NO4S",278.2191,0,14,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,80.85,2.5382
"CMP118","C25ClN3O3",425.7388,0,25,1,3,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,1,1,3,3,87.14,4.88878
"CMP119","C29INO3",537.21967,0,29,0,1,3,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,1,0,5,2,47.56,6.9125
"CMP120","C16ClN2O5",335.6346,0,16,1,2,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,1,0,2,1,93.73,2.1577
"CMP121","C16NO2",238.1767,1,16,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,26.3,1.9526
"CMP122","C17Br3O4",507.8915,0,17,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,2,52.6,4.9833
"CMP123","C7NO",114.081,0,7,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,12.47,-0.1103
"CMP124","C27ClN4O3S",495.8319,0,27,1,4,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,4,4,113.08,6.4555
"CMP125","C26N2OS",388.356,0,26,0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,5,2,60.19,5.8988
"CMP126","C10N4S",208.1988,0,10,0,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,2,68.38,1.4664
"CMP127","C20N2O4S",364.29,0,20,0,2,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,2,2,84.09,3.8902
"CMP128","C17BrN4O2",372.1115,0,17,0,4,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,2,74.66,2.4139
"CMP129","C15NO2",226.166,0,15,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,2,1,21.7,2.194
"CMP130","C21N4O2",340.2503,0,21,0,4,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,3,3,60.37,3.3654
"CMP131","C14NO5S",294.2185,0,14,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,1,81.29,1.5162
"CMP132","C15N5O4",314.1916,2,15,0,5,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,2,2,114.98,2.1436
"CMP133","C24Cl2NO4",437.1671,0,24,2,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,4,2,64.63,5.0756
"CMP134","C26O6",408.2746,0,26,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,1,0,71.06,5.2798
"CMP135","C22N2O5",372.2458,2,22,0,2,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,4,3,92.43,4.7572
"CMP136","C25N2O3",376.2791,0,25,0,2,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,4,3,66.48,3.8401
"CMP137","C21ClN3O6S",457.7592,2,21,1,3,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,2,2,129.91,5.2834
"CMP138","C16O3",240.1694,0,16,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,3,3,39.44,2.6838
"CMP139","C17NO",234.188,0,17,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,12.47,3.2835
"CMP140","C22IN2O3S",499.21647,0,22,0,2,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,4,3,81.07,3.6989
"CMP141","C28N2OS",412.3774,0,28,0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,5,3,60.19,5.6363
"CMP142","C16N2O3S",300.2478,0,16,0,2,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,2,83.65,3.6539
"CMP143","C18O3",264.1908,0,18,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,3,2,35.53,3.0964
"CMP144","C9N",122.103,0,9,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,12.03,1.8047
"CMP145","C12NO2",190.1339,0,12,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,2,2,37.38,1.2225
"CMP146","C11BrNO2",258.0272,0,11,0,1,2,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,2,1,37.38,1.6766
"CMP147","C12N2S",204.2068,0,12,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,61.98,2.16728
"CMP148","C26N2OS",388.356,0,26,0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,5,3,60.19,5.3011
"CMP149","C25N3O6S",470.349,0,25,0,3,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,4,3,140.65,4.4718
"CMP150","C22N2O5",372.2458,0,22,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,3,2,88.43,2.7121
"CMP151","C16O2",224.17,0,16,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,29.46,2.9372
"CMP152","C27N2O2S",416.3661,0,27,0,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,5,3,69.42,5.3914
"CMP153","C14Cl3NO3",336.5137,0,14,3,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,55.4,4.005
"CMP154","C10N",134.1137,0,10,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,12.03,2.1131
"CMP155","C16IO",335.07507,0,16,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,1,9.23,3.7652
"CMP156","C21N2O4S",376.3007,0,21,0,2,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,2,2,84.09,4.2803
"CMP157","C20NO4",318.2183,0,20,0,1,4,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,3,2,66.84,2.2006
"CMP158","C22N2OS",340.3132,0,22,0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,4,2,60.19,4.4135
"CMP159","C21N3O2",326.2436,0,21,0,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,1,3,3,70.93,3.95608
"CMP160","C5N3S2",166.2036,0,5,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,105.34,1.4268
"CMP161","C19BrN2O3S",416.1839,0,19,0,2,3,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,2,74.86,4.6441
"CMP162","C21NO3",314.2296,0,21,0,1,3,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,3,2,57.61,2.8088
"CMP163","C14NOS",230.2209,0,14,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,2,57.34,2.9836
"CMP164","C16N3O3S",314.2545,0,16,0,3,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,2,2,91.54,2.3742
"CMP165","C27ClNO4",437.7462,0,27,1,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,2,1,0,4,1,64.63,5.6626
"CMP166","C21I2N2O2S",598.11084,0,21,0,2,2,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,4,3,71.84,4.2949
"CMP167","C23FN3O3S",417.3278032,0,23,0,3,3,1,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,4,2,96.71,4.0995
"CMP168","C21N2O4S",376.3007,0,21,0,2,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,3,2,104.5,3.5685
"CMP169","C12N3O2S",250.2123,0,12,0,3,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,2,2,86.22,1.95
"CMP170","C21N2O3S",360.3013,0,21,0,2,3,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,3,2,86.88,3.9139
"CMP171","C16ClN4S",315.716,0,16,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,111.79,4.03406
"CMP172","C21NO4",330.229,0,21,0,1,4,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,3,2,66.84,2.5907
"CMP173","C19NO3",290.2082,0,19,0,1,3,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,3,2,57.61,2.192
"CMP174","C15N4S",268.2523,0,15,0,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,3,68.9,2.8908
"CMP175","C20N3O",298.2335,0,20,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,3,3,61.7,3.94748
"CMP176","C12N2OS2",252.2712,0,12,0,2,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,2,88.43,2.3371
