"","MF","MW","Ncharges","C","Cl","N","O","S","H","I","F","Br","Ge","RNH2","R2NH","R3N","ROPO3","ROH","RCHO","RCOR","RCOOH","RCOOR","ROR","RCCH","RCN","RINGS","AROMATIC","TPSA","logP"
"CMP1","C42ClN7O7S",782.0101,0,42,1,7,7,1,0,0,0,0,0,0,2,1,0,0,0,0,0,1,2,0,0,8,8,202.78,7.0705
"CMP2","C40HClN7O7S2",791.06164,0,40,1,7,7,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,8,7,211.16,8.3396
"CMP3","C42ClN8O7S",796.0168,0,42,1,8,7,1,0,0,0,0,0,0,2,2,0,0,0,0,0,1,2,0,0,7,7,206.02,6.7635
"CMP4","C40HClN8O6S2",789.06894,0,40,1,8,6,2,1,0,0,0,0,0,2,1,0,0,0,0,0,0,2,0,0,7,7,201.26,7.6594
"CMP5","C54ClN8O10S2",1020.2084,0,54,1,8,10,2,0,0,0,0,0,0,2,0,0,1,0,0,1,0,3,0,0,10,7,287.64,9.8342
"CMP6","C27H4ClN5O8S",593.86736,0,27,1,5,8,1,4,0,0,0,0,0,1,0,0,4,0,0,0,0,3,0,0,6,5,213.31,1.7254
"CMP7","C39ClN7O8S",761.9774,0,39,1,7,8,1,0,0,0,0,0,0,2,1,0,0,0,0,0,1,3,0,0,7,7,212.01,5.9259
"CMP8","C21ClN2O3S",395.7543,0,21,1,2,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,4,4,92.45,4.5945
"CMP9","C37HClN8O6S3",785.10184,0,37,1,8,6,3,1,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,7,7,239.15,7.5637
"CMP10","C31N6O4",520.3695,0,31,0,6,4,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,5,5,122.36,4.2763
"CMP11","C29HN6O4S",529.42104,0,29,0,6,4,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,5,4,130.74,5.5454
"CMP12","C31N7O4",534.3762,0,31,0,7,4,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0,0,0,4,4,125.6,3.9693
"CMP13","C29HN7O3S",527.42834,0,29,0,7,3,1,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,4,4,120.84,4.8652
"CMP14","C43N7O7S",758.5678,0,43,0,7,7,1,0,0,0,0,0,0,2,0,0,1,0,0,1,0,1,0,0,7,4,207.22,7.04
"CMP15","C16H4N4O5",332.22676,0,16,0,4,5,0,4,0,0,0,0,0,1,0,0,4,0,0,0,0,1,0,0,3,2,132.89,-1.0688
"CMP16","C28N6O5",500.3368,0,28,0,6,5,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,1,0,0,4,4,131.59,3.1317
"CMP17","C10N",134.1137,0,10,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,12.03,1.8003
"CMP18","C26HN7O3S2",523.46124,0,26,0,7,3,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,4,158.73,4.7695
"CMP19","C47N7O6S",790.6112,0,47,0,7,6,1,0,0,0,0,0,0,1,2,0,0,0,0,0,1,1,0,0,9,7,179.75,7.4773
"CMP20","C45HN7O6S2",799.66274,0,45,0,7,6,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,9,6,188.13,8.7464
"CMP21","C47N8O6S",804.6179,0,47,0,8,6,1,0,0,0,0,0,0,1,3,0,0,0,0,0,1,1,0,0,8,6,182.99,7.1703
"CMP22","C45HN8O5S2",797.67004,0,45,0,8,5,2,1,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,8,6,178.23,8.0662
"CMP23","C59N8O9S2",1028.8095,0,59,0,8,9,2,0,0,0,0,0,0,1,1,0,1,0,0,1,0,2,0,0,11,6,264.61,10.241
"CMP24","C32H4N5O7S",602.46846,0,32,0,5,7,1,4,0,0,0,0,0,0,1,0,4,0,0,0,0,2,0,0,7,4,190.28,2.1322
"CMP25","C44N7O7S",770.5785,0,44,0,7,7,1,0,0,0,0,0,0,1,2,0,0,0,0,0,1,2,0,0,8,6,188.98,6.3327
"CMP26","C26N2O2S",404.3554,0,26,0,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,5,3,69.42,5.0013
"CMP27","C42HN8O5S3",793.70294,0,42,0,8,5,3,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,8,6,216.12,7.9705
"CMP28","C33N10O5",616.4171,0,33,0,10,5,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,7,7,193.09,4.207
"CMP29","C31HN10O5S",625.46864,0,31,0,10,5,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,7,6,201.47,5.4761
"CMP30","C33N11O5",630.4238,0,33,0,11,5,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,0,6,6,196.33,3.9
"CMP31","C31HN11O4S",623.47594,0,31,0,11,4,1,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,6,6,191.57,4.7959
"CMP32","C45N11O8S",854.6154,0,45,0,11,8,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,9,6,277.95,6.9707
"CMP33","C18H4N8O6",428.27436,0,18,0,8,6,0,4,0,0,0,0,0,0,1,0,4,0,0,0,0,1,0,0,5,4,203.62,-1.1381
"CMP34","C30N10O6",596.3844,0,30,0,10,6,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,1,0,0,6,6,202.32,3.0624
"CMP35","C12N5O",230.1613,0,12,0,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,3,82.76,1.8829
"CMP36","C28HN11O4S2",619.50884,0,28,0,11,4,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,6,6,229.46,4.7002
"CMP37","C43N7O9S",790.5666,0,43,0,7,9,1,0,0,0,0,0,0,1,2,0,0,0,0,1,1,2,0,0,7,6,224.06,6.0531
"CMP38","C41HN7O9S2",799.61814,0,41,0,7,9,2,1,0,0,0,0,0,1,1,0,0,0,0,1,0,3,0,0,7,5,232.44,7.3222
"CMP39","C43N8O9S",804.5733,0,43,0,8,9,1,0,0,0,0,0,0,1,3,0,0,0,0,1,1,2,0,0,6,5,227.3,5.7461
"CMP40","C41HN8O8S2",797.62544,0,41,0,8,8,2,1,0,0,0,0,0,1,2,0,0,0,0,1,0,2,0,0,6,5,222.54,6.642
"CMP41","C55N8O12S2",1028.7649,0,55,0,8,12,2,0,0,0,0,0,0,1,1,0,1,0,0,2,0,3,0,0,9,5,308.92,8.8168
"CMP42","C28H4N5O10S",602.42386,0,28,0,5,10,1,4,0,0,0,0,0,0,1,0,4,0,0,1,0,3,0,0,5,3,234.59,0.708
"CMP43","C40N7O10S",770.5339,0,40,0,7,10,1,0,0,0,0,0,0,1,2,0,0,0,0,1,1,3,0,0,6,5,233.29,4.9085
"CMP44","C22N2O5S",404.3108,0,22,0,2,5,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,1,0,3,2,113.73,3.5771
"CMP45","C38HN8O8S3",793.65834,0,38,0,8,8,3,1,0,0,0,0,0,1,1,0,0,0,0,1,0,2,0,0,6,5,260.43,6.5463
"CMP46","C35N7O5S2",662.5484,0,35,0,7,5,2,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,6,6,198.76,5.4621
"CMP47","C33HN7O5S3",671.59994,0,33,0,7,5,3,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,6,5,207.14,6.7312
"CMP48","C35N8O5S2",676.5551,0,35,0,8,5,2,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,0,5,5,202,5.1551
"CMP49","C33HN8O4S3",669.60724,0,33,0,8,4,3,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,5,5,197.24,6.051
"CMP50","C47N8O8S3",900.7467,0,47,0,8,8,3,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,8,5,283.62,8.2258
"CMP51","C20H4N5O6S2",474.40566,0,20,0,5,6,2,4,0,0,0,0,0,0,1,0,4,0,0,0,0,1,0,0,4,3,209.29,0.117
"CMP52","C32N7O6S2",642.5157,0,32,0,7,6,2,0,0,0,0,0,0,1,2,0,0,0,0,0,1,1,0,0,5,5,207.99,4.3175
"CMP53","C14N2OS2",276.2926,0,14,0,2,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,2,88.43,2.9861
"CMP54","C30HN8O4S4",665.64014,0,30,0,8,4,4,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,5,5,235.13,5.9553
"CMP55","C54N7O9",890.6193,0,54,0,7,9,0,0,0,0,0,0,0,1,3,0,0,0,1,0,1,0,1,0,10,10,202.16,7.2061
"CMP56","C52HN7O9S",899.67084,0,52,0,7,9,1,1,0,0,0,0,0,1,2,0,0,0,1,0,0,1,1,0,10,9,210.54,8.4752
"CMP57","C54N8O9",904.626,0,54,0,8,9,0,0,0,0,0,0,0,1,4,0,0,0,1,0,1,0,1,0,9,9,205.4,6.8991
"CMP58","C52HN8O8S",897.67814,0,52,0,8,8,1,1,0,0,0,0,0,1,3,0,0,0,1,0,0,0,1,0,9,9,200.64,7.795
"CMP59","C66N8O12S",1128.8176,0,66,0,8,12,1,0,0,0,0,0,0,1,2,0,1,0,1,1,0,1,1,0,12,9,287.02,9.9698
"CMP60","C39H4N5O10",702.47656,0,39,0,5,10,0,4,0,0,0,0,0,0,2,0,4,0,1,0,0,1,1,0,8,7,212.69,1.861
"CMP61","C51N7O10",870.5866,0,51,0,7,10,0,0,0,0,0,0,0,1,3,0,0,0,1,0,1,1,1,0,9,9,211.39,6.0615
"CMP62","C33N2O5",504.3635,0,33,0,2,5,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,2,0,6,6,91.83,4.6114
"CMP63","C49HN8O8S2",893.71104,0,49,0,8,8,2,1,0,0,0,0,0,1,2,0,0,0,1,0,0,0,1,0,9,9,238.53,7.6993
"CMP64","C42I2N12O7",1038.33454,0,42,0,12,7,0,0,2,0,0,0,0,1,2,0,0,0,0,0,1,1,0,0,8,8,243.78,6.4881
"CMP65","C40HI2N12O7S",1047.38608,0,40,0,12,7,1,1,2,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,8,7,252.16,7.7572
"CMP66","C42I2N13O7",1052.34124,0,42,0,13,7,0,0,2,0,0,0,0,1,3,0,0,0,0,0,1,1,0,0,7,7,247.02,6.1811
"CMP67","C40HI2N13O6S",1045.39338,0,40,0,13,6,1,1,2,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,7,7,242.26,7.077
"CMP68","C54I2N13O10S",1276.53284,0,54,0,13,10,1,0,2,0,0,0,0,1,1,0,1,0,0,1,0,2,0,0,10,7,328.64,9.2518
"CMP69","C27H4I2N10O8",850.1918,0,27,0,10,8,0,4,2,0,0,0,0,0,1,0,4,0,0,0,0,2,0,0,6,5,254.31,1.143
"CMP70","C39I2N12O8",1018.30184,0,39,0,12,8,0,0,2,0,0,0,0,1,2,0,0,0,0,0,1,2,0,0,7,7,253.01,5.3435
"CMP71","C21I2N7O3",652.07874,0,21,0,7,3,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,4,4,133.45,4.0121
"CMP72","C37HI2N13O6S2",1041.42628,0,37,0,13,6,2,1,2,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,7,7,280.15,6.9813
"CMP73","C35N6O5",584.4117,0,35,0,6,5,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,6,6,143.45,4.2748
"CMP74","C33HN6O5S",593.46324,0,33,0,6,5,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,6,5,151.83,5.5439
"CMP75","C35N7O5",598.4184,0,35,0,7,5,0,0,0,0,0,0,0,1,2,0,1,0,0,0,1,0,0,0,5,5,146.69,3.9678
"CMP76","C33HN7O4S",591.47054,0,33,0,7,4,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,5,5,141.93,4.8637
"CMP77","C47N7O8S",822.61,0,47,0,7,8,1,0,0,0,0,0,0,1,0,0,2,0,0,1,0,1,0,0,8,5,228.31,7.0385
"CMP78","C20H4N4O6",396.26896,0,20,0,4,6,0,4,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,4,3,153.98,-1.0703
"CMP79","C32N6O6",564.379,0,32,0,6,6,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,5,5,152.68,3.1302
"CMP80","C14NO",198.1559,0,14,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,2,33.12,1.9507
"CMP81","C30HN7O4S2",587.50344,0,30,0,7,4,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,5,5,179.82,4.768
"CMP82","C34N6O7",604.3998,0,34,0,6,7,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,2,0,0,7,5,149.1,3.407
"CMP83","C32HN6O7S",613.45134,0,32,0,6,7,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0,0,7,4,157.48,4.6761
"CMP84","C34N7O7",618.4065,0,34,0,7,7,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,2,0,0,6,4,152.34,3.1
"CMP85","C32HN7O6S",611.45864,0,32,0,7,6,1,1,0,0,0,0,0,1,2,0,0,0,0,0,0,2,0,0,6,4,147.58,3.9959
"CMP86","C46N7O10S",842.5981,0,46,0,7,10,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,3,0,0,9,4,233.96,6.1707
"CMP87","C19H4N4O8",416.25706,0,19,0,4,8,0,4,0,0,0,0,0,0,1,0,4,0,0,0,0,3,0,0,5,2,159.63,-1.9381
"CMP88","C31N6O8",584.3671,0,31,0,6,8,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,3,0,0,6,4,158.33,2.2624
"CMP89","C13NO3",218.144,0,13,0,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,3,1,38.77,0.931
"CMP90","C29HN7O6S2",607.49154,0,29,0,7,6,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,6,4,185.47,3.9002
"CMP91","C37N7O6S",670.5042,0,37,0,7,6,1,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,0,7,5,177.94,5.2026
"CMP92","C35HN7O6S2",679.55574,0,35,0,7,6,2,1,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,7,4,186.32,6.4717
"CMP93","C37N8O6S",684.5109,0,37,0,8,6,1,0,0,0,0,0,0,1,4,0,0,0,0,0,1,0,0,0,6,4,181.18,4.8956
"CMP94","C35HN8O5S2",677.56304,0,35,0,8,5,2,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,6,4,176.42,5.7915
"CMP95","C49N8O9S2",908.7025,0,49,0,8,9,2,0,0,0,0,0,0,1,2,0,1,0,0,1,0,1,0,0,9,4,262.8,7.9663
"CMP96","C22H4N5O7S",482.36146,0,22,0,5,7,1,4,0,0,0,0,0,0,2,0,4,0,0,0,0,1,0,0,5,2,188.47,-0.1425
"CMP97","C34N7O7S",650.4715,0,34,0,7,7,1,0,0,0,0,0,0,1,3,0,0,0,0,0,1,1,0,0,6,4,187.17,4.058
"CMP98","C16N2O2S",284.2484,0,16,0,2,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,3,1,67.61,2.8785
"CMP99","C32HN8O5S3",673.59594,0,32,0,8,5,3,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,6,4,214.31,5.6958
"CMP100","C44N6O7",724.5068,0,44,0,6,7,0,0,0,0,0,0,0,1,2,0,1,0,1,0,1,0,0,0,8,6,167.94,5.5468
"CMP101","C42HN6O7S",733.55834,0,42,0,6,7,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,8,5,176.32,6.8159
"CMP102","C44N7O7",738.5135,0,44,0,7,7,0,0,0,0,0,0,0,1,3,0,1,0,1,0,1,0,0,0,7,5,171.18,5.2398
"CMP103","C42HN7O6S",731.56564,0,42,0,7,6,1,1,0,0,0,0,0,1,2,0,1,0,1,0,0,0,0,0,7,5,166.42,6.1357
"CMP104","C56N7O10S",962.7051,0,56,0,7,10,1,0,0,0,0,0,0,1,1,0,2,0,1,1,0,1,0,0,10,5,252.8,8.3105
"CMP105","C29H4N4O8",536.36406,0,29,0,4,8,0,4,0,0,0,0,0,0,1,0,5,0,1,0,0,1,0,0,6,3,178.47,0.2017
"CMP106","C41N6O8",704.4741,0,41,0,6,8,0,0,0,0,0,0,0,1,2,0,1,0,1,0,1,1,0,0,7,5,177.17,4.4022
"CMP107","C23NO3",338.251,0,23,0,1,3,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,4,2,57.61,3.0708
"CMP108","C39HN7O6S2",727.59854,0,39,0,7,6,2,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,7,5,204.31,6.04
"CMP109","C41N6O7",688.4747,0,41,0,6,7,0,0,0,0,0,0,0,1,2,0,1,0,1,0,1,0,0,0,7,6,167.94,4.9764
"CMP110","C39HN6O7S",697.52624,0,39,0,6,7,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,7,5,176.32,6.2455
"CMP111","C41N7O7",702.4814,0,41,0,7,7,0,0,0,0,0,0,0,1,3,0,1,0,1,0,1,0,0,0,6,5,171.18,4.6694
"CMP112","C39HN7O6S",695.53354,0,39,0,7,6,1,1,0,0,0,0,0,1,2,0,1,0,1,0,0,0,0,0,6,5,166.42,5.5653
"CMP113","C53N7O10S",926.673,0,53,0,7,10,1,0,0,0,0,0,0,1,1,0,2,0,1,1,0,1,0,0,9,5,252.8,7.7401
"CMP114","C26H4N4O8",500.33196,0,26,0,4,8,0,4,0,0,0,0,0,0,1,0,5,0,1,0,0,1,0,0,5,3,178.47,-0.3687
"CMP115","C38N6O8",668.442,0,38,0,6,8,0,0,0,0,0,0,0,1,2,0,1,0,1,0,1,1,0,0,6,5,177.17,3.8318
"CMP116","C20NO3",302.2189,0,20,0,1,3,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,3,2,57.61,2.5004
"CMP117","C36HN7O6S2",691.56644,0,36,0,7,6,2,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,6,5,204.31,5.4696
"CMP118","C44N7O7",738.5135,0,44,0,7,7,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,8,6,174.56,5.3863
"CMP119","C42HN7O7S",747.56504,0,42,0,7,7,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,8,5,182.94,6.6554
"CMP120","C44N8O7",752.5202,0,44,0,8,7,0,0,0,0,0,0,0,1,2,0,1,0,0,0,1,0,0,0,7,5,177.8,5.0793
"CMP121","C42HN8O6S",745.57234,0,42,0,8,6,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,7,5,173.04,5.9752
"CMP122","C56N8O10S",976.7118,0,56,0,8,10,1,0,0,0,0,0,0,1,0,0,2,0,0,1,0,1,0,0,10,5,259.42,8.15
"CMP123","C29H4N5O8",550.37076,0,29,0,5,8,0,4,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,6,3,185.09,0.0412
"CMP124","C41N7O8",718.4808,0,41,0,7,8,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,7,5,183.79,4.2417
"CMP125","C23N2O3",352.2577,0,23,0,2,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,4,2,64.23,2.9538
"CMP126","C39HN8O6S2",741.60524,0,39,0,8,6,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,7,5,210.93,5.8795
"CMP127","C29N7O8",574.3524,4,29,0,7,8,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,5,5,201.97,5.1254
"CMP128","C27HN7O8S",583.40394,4,27,0,7,8,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,5,4,210.35,6.3945
"CMP129","C29N8O8",588.3591,4,29,0,8,8,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,4,4,205.21,4.8184
"CMP130","C27HN8O7S",581.41124,4,27,0,8,7,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4,4,200.45,5.7143
"CMP131","C41N8O11S",812.5507,4,41,0,8,11,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,7,4,286.83,7.8891
"CMP132","C14H4N5O9",386.20966,4,14,0,5,9,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,3,2,212.5,-0.2197
"CMP133","C26N7O9",554.3197,4,26,0,7,9,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,4,4,211.2,3.9808
"CMP134","C8N2O4",188.0966,4,8,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,91.64,2.5307
"CMP135","C24HN8O7S2",577.44414,4,24,0,8,7,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,4,238.34,5.6186
"CMP136","C33N5O4",530.3842,0,33,0,5,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,6,5,110.33,5.4158
"CMP137","C31HN5O4S",539.43574,0,31,0,5,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,6,4,118.71,6.6849
"CMP138","C33N6O4",544.3909,0,33,0,6,4,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,5,4,113.57,5.1088
"CMP139","C31HN6O3S",537.44304,0,31,0,6,3,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,5,4,108.81,6.0047
"CMP140","C45N6O7S",768.5825,0,45,0,6,7,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,8,4,195.19,8.1795
"CMP141","C18H4N3O5",342.24146,0,18,0,3,5,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,4,2,120.86,0.0707
"CMP142","C30N5O5",510.3515,0,30,0,5,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,5,4,119.56,4.2712
"CMP143","C12",144.1284,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,2.8211
"CMP144","C28HN6O3S2",533.47594,0,28,0,6,3,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,4,146.7,5.909
"CMP145","C44N5O7",710.5001,0,44,0,5,7,0,0,0,0,0,0,0,1,1,0,1,0,0,0,2,0,0,0,8,4,156.86,6.6777
"CMP146","C42HN5O7S",719.55164,0,42,0,5,7,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,8,3,165.24,7.9468
"CMP147","C44N6O7",724.5068,0,44,0,6,7,0,0,0,0,0,0,0,1,2,0,1,0,0,0,2,0,0,0,7,3,160.1,6.3707
"CMP148","C42HN6O6S",717.55894,0,42,0,6,6,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,7,3,155.34,7.2666
"CMP149","C56N6O10S",948.6984,0,56,0,6,10,1,0,0,0,0,0,0,1,0,0,2,0,0,1,1,1,0,0,10,3,241.72,9.4414
"CMP150","C29H4N3O8",522.35736,0,29,0,3,8,0,4,0,0,0,0,0,0,0,0,5,0,0,0,1,1,0,0,6,1,167.39,1.3326
"CMP151","C41N5O8",690.4674,0,41,0,5,8,0,0,0,0,0,0,0,1,1,0,1,0,0,0,2,1,0,0,7,3,166.09,5.5331
"CMP152","C23O3",324.2443,0,23,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,4,0,46.53,4.2452
"CMP153","C39HN6O6S2",713.59184,0,39,0,6,6,2,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,7,3,193.23,7.1709
"CMP154","C27N10O6",560.3523,0,27,0,10,6,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,5,5,222.88,2.6794
"CMP155","C25HN10O6S",569.40384,0,25,0,10,6,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,5,4,231.26,3.9485
"CMP156","C27N11O6",574.359,0,27,0,11,6,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,4,4,226.12,2.3724
"CMP157","C25HN11O5S",567.41114,0,25,0,11,5,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4,4,221.36,3.2683
"CMP158","C39N11O9S",798.5506,0,39,0,11,9,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,7,4,307.74,5.4431
"CMP159","C12H4N8O7",372.20956,0,12,0,8,7,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,3,2,233.41,-2.6657
"CMP160","C24N10O7",540.3196,0,24,0,10,7,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,4,4,232.11,1.5348
"CMP161","C6N5O2",174.0965,0,6,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,112.55,0.2034
"CMP162","C22HN11O5S2",563.44404,0,22,0,11,5,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,4,259.25,3.1726
"CMP163","C40FN6O7",695.4624032,0,40,0,6,7,0,0,0,1,0,0,0,1,2,0,1,0,1,0,1,0,0,0,7,6,167.94,4.8071
"CMP164","C38HFN6O7S",704.5139432,0,38,0,6,7,1,1,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0,0,7,5,176.32,6.0762
"CMP165","C40FN7O7",709.4691032,0,40,0,7,7,0,0,0,1,0,0,0,1,3,0,1,0,1,0,1,0,0,0,6,5,171.18,4.5001
"CMP166","C38HFN7O6S",702.5212432,0,38,0,7,6,1,1,0,1,0,0,0,1,2,0,1,0,1,0,0,0,0,0,6,5,166.42,5.396
"CMP167","C52FN7O10S",933.6607032,0,52,0,7,10,1,0,0,1,0,0,0,1,1,0,2,0,1,1,0,1,0,0,9,5,252.8,7.5708
"CMP168","C25H4FN4O8",507.3196632,0,25,0,4,8,0,4,0,1,0,0,0,0,1,0,5,0,1,0,0,1,0,0,5,3,178.47,-0.538
"CMP169","C37FN6O8",675.4297032,0,37,0,6,8,0,0,0,1,0,0,0,1,2,0,1,0,1,0,1,1,0,0,6,5,177.17,3.6625
"CMP170","C19FNO3",309.2066032,0,19,0,1,3,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,3,2,57.61,2.3311
"CMP171","C35HFN7O6S2",698.5541432,0,35,0,7,6,2,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,6,5,204.31,5.3003
"CMP172","C38N6O6",636.4432,0,38,0,6,6,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,0,0,0,6,5,139.87,4.9459
"CMP173","C36HN6O6S",645.49474,0,36,0,6,6,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,6,4,148.25,6.215
"CMP174","C38N7O6",650.4499,0,38,0,7,6,0,0,0,0,0,0,0,1,3,0,0,0,0,0,2,0,0,0,5,4,143.11,4.6389
"CMP175","C36HN7O5S",643.50204,0,36,0,7,5,1,1,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,5,4,138.35,5.5348
"CMP176","C50N7O9S",874.6415,0,50,0,7,9,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0,8,4,224.73,7.7096
