"","MF","MW","Ncharges","C","Cl","N","O","S","H","I","F","Br","Ge","RNH2","R2NH","R3N","ROPO3","ROH","RCHO","RCOR","RCOOH","RCOOR","ROR","RCCH","RCN","RINGS","AROMATIC","TPSA","logP"
"CMP2263","C33HN8O6S",637.47604,0,33,0,8,6,1,1,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,5,4,167.45,4.0707
"CMP2264","C47N8O10S",868.6155,0,47,0,8,10,1,0,0,0,0,0,0,2,1,0,1,0,0,1,0,2,0,0,8,4,253.83,6.2455
"CMP2265","C20H4N5O8",442.27446,0,20,0,5,8,0,4,0,0,0,0,0,1,1,0,4,0,0,0,0,2,0,0,4,2,179.5,-1.8633
"CMP2266","C32N7O8",610.3845,0,32,0,7,8,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,2,0,0,5,4,178.2,2.3372
"CMP2267","C14N2O3",244.1614,0,14,0,2,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,2,1,58.64,1.0058
"CMP2268","C30HN8O6S2",633.50894,0,30,0,8,6,2,1,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,5,4,205.34,3.975
"CMP2269","C32N6O4",532.3802,0,32,0,6,4,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,5,5,122.36,4.8373
"CMP2270","C30HN6O4S",541.43174,0,30,0,6,4,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,5,4,130.74,6.1064
"CMP2271","C32N7O4",546.3869,0,32,0,7,4,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0,0,0,4,4,125.6,4.5303
"CMP2272","C30HN7O3S",539.43904,0,30,0,7,3,1,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,4,4,120.84,5.4262
"CMP2273","C44N7O7S",770.5785,0,44,0,7,7,1,0,0,0,0,0,0,2,0,0,1,0,0,1,0,1,0,0,7,4,207.22,7.601
"CMP2274","C17H4N4O5",344.23746,0,17,0,4,5,0,4,0,0,0,0,0,1,0,0,4,0,0,0,0,1,0,0,3,2,132.89,-0.5078
