"","MF","MW","Ncharges","C","N","O","S","Cl","F","Br","H","I","RNH2","R2NH","R3N","ROPO3","ROH","RCHO","RCOR","RCOOH","RCOOR","ROR","RCCH","RCN","RINGS","AROMATIC","TPSA","logP"
"CMP78","C20NO5",334.2177,0,20,1,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,2,2,81.7,2.9786
"CMP79","C12ClNO",209.5875,0,12,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,29.1,3.1061
"CMP80","C16NO5",286.1749,0,16,1,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,1,1,81.7,1.8314
"CMP81","C19NO4",306.2076,0,19,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,3,3,65.37,1.9093
"CMP82","C19N3O3S",350.2866,0,19,3,3,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,3,2,109.38,2.6721
"CMP83","C17F3N3O2S",367.2610096,0,17,3,2,1,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,3,2,100.15,3.1261
"CMP84","C16Cl2N3O2S",369.1611,0,16,3,2,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,3,2,100.15,3.4141
"CMP85","C25N3O3S",422.3508,0,25,3,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,3,3,90.68,4.8109
"CMP86","C16N2O5",300.1816,0,16,2,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,2,1,84.94,1.031
"CMP87","C21Cl2N2O3",399.1423,0,21,2,3,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1,3,1,85.34,5.15658
"CMP88","C13N2S",216.2175,0,13,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,61.98,2.55738
"CMP89","C20N3O2",314.2329,0,20,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,1,3,3,70.93,3.64768
"CMP90","C21N3O2",326.2436,0,21,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,1,3,3,70.93,4.03778
"CMP91","C19N3O",286.2228,0,19,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,3,3,61.7,3.63908
"CMP92","C20N3O2",314.2329,0,20,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,1,3,3,70.93,3.64768
"CMP93","C13N2O2",216.1513,2,13,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,1,50.75,3.0451
"CMP94","C13N2S",216.2175,0,13,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,51.08,2.9719
"CMP95","C17NO",234.188,0,17,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,29.1,4.4521
"CMP96","C20N3O",298.2335,0,20,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,3,3,61.7,3.94748
"CMP97","C26O6",408.2746,0,26,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,1,0,71.06,5.2798
"CMP98","C18NO2",262.1981,0,18,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,38.33,4.4607
"CMP99","C18NO",246.1987,0,18,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,29.1,4.7605
"CMP100","C18NO",246.1987,0,18,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,29.1,4.4477
"CMP101","C16NO2",238.1767,0,16,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,42.24,4.0407
"CMP102","C10N2OS",196.1848,0,10,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,81.95,1.28028
"CMP103","C15NO",210.1666,0,15,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,29.1,4.0476
"CMP104","C15O3",228.1587,0,15,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,3,2,39.44,2.2937
"CMP105","C16N4OS",296.2624,0,16,4,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,2,2,132.02,3.08626
"CMP106","C14N2OS",244.2276,0,14,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,70.23,3.9086
"CMP107","C22N3O",322.2549,0,22,3,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,3,2,57.82,4.20158
"CMP108","C17NO",234.188,0,17,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,29.1,4.5802
"CMP109","C22N4O2",352.261,0,22,4,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,4,3,66.7,3.0471
"CMP110","C27N2OS",400.3667,0,27,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,5,3,60.19,5.4419
"CMP111","C9O2",140.0951,0,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,37.3,1.3661
"CMP112","C18N2OS",292.2704,0,18,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,2,60.19,3.4194
"CMP113","C24NO4",366.2611,0,24,1,4,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,4,2,64.63,3.7688
"CMP114","C10NO4",198.1113,2,10,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,72.12,1.908
"CMP115","C9NO3",170.1012,2,9,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,55.05,2.13
"CMP116","C8N2O4",188.0966,4,8,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,91.64,2.5307
"CMP117","C20NO3",302.2189,0,20,1,3,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,3,2,57.61,2.5004
